Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_test,label_test
2679,ic302758g_si_002_FSR_pacman,1.3042,3.52279,6.0807,4390.6,0.47372,0.363227,8757.248,0.1458734384651238,1
3657,jz6b02458_si_004_23_FSR_pacman,1.35278,3.37701,4.57083,4236.76,0.42668,0.31541,351.224,0.1456265988610207,1
2483,d3ce01060k2_2_FSR_pacman,1.43584,2.74321,5.29248,4035.23,0.4311,0.300243,782.482,0.14558195055640033,1
1809,d0ce00262c2_4_FSR_pacman,1.40078,2.63426,4.01799,4624.83,0.39756,0.283813,3810.832,0.14528589354715027,1
1808,d0ce00262c2_4_ASR_pacman,1.40078,2.63426,4.01799,4624.83,0.39756,0.283813,3810.832,0.14528589354715027,1
1807,d0ce00262c2_3_FSR_pacman,1.40066,2.63845,3.99565,4622.86,0.3965,0.283081,3810.832,0.1452036609030537,1
1806,d0ce00262c2_3_ASR_pacman,1.40066,2.63845,3.99565,4622.86,0.3965,0.283081,3810.832,0.1452036609030537,1
430,c4dt02048k2_2_ASR_pacman,1.4785,3.43436,4.68044,4276.35,0.41876,0.283233,3191.056,0.14517339763677095,1
2434,d3ce00592e2_7_ASR_pacman,1.3188,3.28868,7.06229,4284.52,0.49158,0.372748,15425.816,0.14512728782467021,1
2435,d3ce00592e2_7_FSR_pacman,1.3188,3.28868,7.06229,4284.52,0.49158,0.372748,15425.816,0.14512728782467021,1
1007,c8cc05650a5_1_FSR_pacman,1.3333,3.0597,8.91344,3995.35,0.4869,0.365184,11443.695,0.14426964194211533,1
2811,ja0c01008_si_002_FSR_pacman,1.30898,2.81559,5.96966,3954.53,0.45504,0.347629,5998.616,0.14423056645623122,1
774,c7dt00217c2_2_ion_pacman,1.40127,1.34826,6.09623,4303.37,0.46352,0.330785,21348.294,0.14422130363145447,1
571,c6cc09566f2_3_ion_pacman,1.36045,2.82454,4.30342,4593.18,0.4381,0.322026,5682.952,0.1441429753484812,1
2740,ic5b02666_si_003_ASR_pacman,1.29156,3.37752,4.83799,4588.65,0.44258,0.342672,5370.896,0.14386367280312984,1
2741,ic5b02666_si_003_FSR_pacman,1.29156,3.37752,4.83799,4588.65,0.44258,0.342672,5370.896,0.14386367280312984,1
2260,d2cc04241j2_FSR_pacman,1.48172,3.14913,4.28339,4366.09,0.43452,0.293254,5461.824,0.14384630439065138,1
2259,d2cc04241j2_ASR_pacman,1.48172,3.14913,4.28339,4366.09,0.43452,0.293254,5461.824,0.14384630439065138,1
78,41557_2017_BFnchem2747_MOESM339_ESM_ion_pacman,1.53506,3.03244,5.19442,4144.14,0.4451,0.289956,2074.676,0.14364176426344433,1
854,c7dt04838f2_1_FSR_pacman,1.25487,3.01403,5.92268,4621.58,0.4724,0.376454,5913.188,0.14359734777533628,1
1387,c9ce02006c2_5_FSR_pacman,1.56621,2.8867,4.70731,4152.19,0.37774,0.241182,3517.644,0.1434563201109328,1
1693,cryst11060574_2_FSR_pacman,1.45838,2.42871,4.23085,4110.75,0.41632,0.285467,2154.884,0.14343774600333214,1
1242,c8ra09777a2_FSR_pacman,1.46159,2.88053,3.67817,4541.16,0.40694,0.278424,3302.134,0.14334436030013953,1
