Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
775,c7dt00582b2_2_ASR_pacman,1.0077,13.62828,15.37508,3327.06,0.71106,0.705629,10550.196,0.448166445
1985,d0qi00231c2_ASR_pacman,0.867497,6.8307,17.02445,3281.11,0.71328,0.822228,6699.798,0.447938542
1015,c8cc07441k2_1_ASR_pacman,1.15438,10.60331,11.44539,2886.62,0.64392,0.557806,4852.684,0.447691257
2006,d0qm01097a2_1_FSR_pacman,1.18678,6.30593,13.66811,3751.38,0.58248,0.490805,8102.908,0.447591017
2005,d0qm01097a2_1_ASR_pacman,1.18678,6.30593,13.66811,3751.38,0.58248,0.490805,8102.908,0.447591017
2652,d3tc03606e2_3_FSR_pacman,0.806785,14.98908,16.93049,2693.52,0.76116,0.943448,4697.592,0.447325412
3351,ja8b05107_si_002_3_FSR_pacman,1.6768,10.00988,13.90976,1722.17,0.68136,0.406345,27926.984,0.447019421
3440,ja8b11525_si_004_FSR_pacman,1.30257,4.42554,13.66506,2476.23,0.62798,0.48211,10708.882,0.446955161
3439,ja8b11525_si_004_ASR_pacman,1.30257,4.42554,13.66506,2476.23,0.62798,0.48211,10708.882,0.446955161
3119,ja7b00219_si_008_FSR_pacman,1.13124,5.41062,12.54903,3268.01,0.63132,0.558077,18200.946,0.446783057
3349,ja8b05107_si_002_2_FSR_pacman,2.05006,6.10691,15.27652,1525.34,0.6407,0.312528,31783.936,0.446670165
2799,ja0734952si20070516_030528_ASR_pacman,1.08034,6.78484,12.91962,3730.12,0.6154,0.569634,14146.992,0.44657112
2252,d2cc03016k2_4_FSR_pacman,0.874651,4.45783,14.64943,3537.61,0.691,0.790029,1820.93,0.446321429
2251,d2cc03016k2_4_ASR_pacman,0.874651,4.45783,14.64943,3537.61,0.691,0.790029,1820.93,0.446321429
2281,d2ce00553k2_1_FSR_pacman,0.87992,10.74196,14.25264,3573.09,0.67908,0.771752,12316.968,0.446121748
2280,d2ce00553k2_1_ASR_pacman,0.87992,10.74196,14.25264,3573.09,0.67908,0.771752,12316.968,0.446121748
562,c6cc02494g5_FSR_pacman,1.02874,10.75693,11.87939,2847.16,0.65608,0.637751,2016.576,0.44607856
561,c6cc02494g5_ASR_pacman,1.02874,10.75693,11.87939,2847.16,0.65608,0.637751,2016.576,0.44607856
673,c7cc04222a2_ASR_pacman,0.785253,3.93097,17.46074,3567.11,0.71722,0.913362,2496.55,0.446077781
674,c7cc04222a2_FSR_pacman,0.785253,3.93097,17.46074,3567.11,0.71722,0.913362,2496.55,0.446077781
2141,d1dt00518a2_3_FSR_pacman,1.39989,7.97218,16.34628,1568.87,0.72488,0.517813,4186.213,0.445880907
2140,d1dt00518a2_3_ASR_pacman,1.39989,7.97218,16.34628,1568.87,0.72488,0.517813,4186.213,0.445880907
293,am7b10795_si_002_FSR_pacman,0.863563,5.34045,15.43156,3865.4,0.68944,0.798367,13985.96,0.445776194
1126,c8dt00863a2_ASR_pacman,1.1734,6.71069,12.81911,3428.48,0.57496,0.489996,8359.404,0.445365685
3504,ja9b04737_si_009_ASR_pacman,0.94645,13.77224,15.3607,2658.45,0.74662,0.788863,3002.66,0.445039052
3348,ja8b05107_si_002_2_ASR_pacman,2.02326,6.10691,15.27652,1472.58,0.65402,0.32325,31093.546,0.444768429
2881,ja102862j_si_005_FSR_pacman,0.874316,5.69724,16.4162,3329.3,0.71522,0.818034,10645.016,0.444728682
2880,ja102862j_si_005_ASR_pacman,0.874316,5.69724,16.4162,3329.3,0.71522,0.818034,10645.016,0.444728682
3118,ja7b00219_si_008_ASR_pacman,1.0806,5.47095,12.54903,3215.49,0.6504,0.601887,17372.76,0.444456266
341,am8b09333_si_003_FSR_pacman,1.13742,4.82227,12.7086,2997.96,0.6233,0.547996,19094.904,0.444351553
340,am8b09333_si_003_ASR_pacman,1.13742,4.82227,12.7086,2997.96,0.6233,0.547996,19094.904,0.444351553
3393,ja8b07050_si_005_FSR_pacman,0.9903,11.04615,11.62586,2955.79,0.65644,0.66287,1892.028,0.444133065
3506,ja9b04737_si_010_ASR_pacman,0.92525,14.04134,15.46432,2743.63,0.74512,0.805318,3002.66,0.444057171
791,c7dt01523b2_3_FSR_pacman,1.13494,10.84329,10.89654,3603.32,0.62106,0.547217,1564.197,0.443969259
790,c7dt01523b2_3_ASR_pacman,1.13494,10.84329,10.89654,3603.32,0.62106,0.547217,1564.197,0.443969259
2830,ja0c05074_si_003_ASR_pacman,0.321991,18.11494,26.2862,4418.49,0.86246,2.67852,4595.46,0.443958491
2831,ja0c05074_si_003_FSR_pacman,0.321991,18.11494,26.2862,4418.49,0.86246,2.67852,4595.46,0.443958491
697,c7cc06652j2_ASR_pacman,0.884549,7.57403,21.90979,2427.35,0.77874,0.880381,5551.464,0.443879369
3237,ja7b05858_si_005_ASR_pacman,1.34109,11.50392,11.58319,3373.34,0.52788,0.39362,1602.565,0.443344988
3238,ja7b05858_si_005_FSR_pacman,1.34109,11.50392,11.58319,3373.34,0.52788,0.39362,1602.565,0.443344988
401,am9b17348_si_002_ASR_pacman,1.41403,4.33958,13.79803,3195.59,0.55434,0.392028,10149.387,0.443128826
2651,d3tc03606e2_3_ASR_pacman,0.777566,14.98908,16.93049,2607.24,0.77216,0.993047,4441.608,0.442731655
1670,cm9b01258_si_005_ASR_pacman,1.98564,11.03737,13.38874,1095.62,0.68976,0.347374,2421.012,0.44237264
1943,d0dt02730h2_FSR_pacman,0.999304,10.55243,12.20629,3393.18,0.67448,0.67495,14125.32,0.442298513
2933,ja500330a_si_006_FSR_pacman,1.15702,6.72595,13.01175,2616.33,0.6579,0.568616,9121.665,0.442268996
2240,d1tc05488k2_FSR_pacman,1.05414,4.06448,13.8854,2680.93,0.67748,0.642687,2782.209,0.441959462
2239,d1tc05488k2_ASR_pacman,1.05414,4.06448,13.8854,2680.93,0.67748,0.642687,2782.209,0.441959462
3466,ja8b13397_si_001_ASR_pacman,1.68904,8.90609,12.44284,2203.36,0.63122,0.373715,3201.632,0.441800367
