Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
217,d3ta04490d2_5_FSR_pacman,0.625695,8.01133,11.18633,4423.81,0.72378,1.15676,6253.704,0.388662127
295,ja9b10501_si_013_FSR_pacman,0.615117,7.02443,10.58922,4577.54,0.73168,1.1895,4507.8,0.388484089
294,ja9b10501_si_013_ASR_pacman,0.615117,7.02443,10.58922,4577.54,0.73168,1.1895,4507.8,0.388484089
292,ja9b10501_si_011_ASR_pacman,0.632645,6.87297,10.41078,4453.58,0.72454,1.14525,4523.576,0.387282051
293,ja9b10501_si_011_FSR_pacman,0.632645,6.87297,10.41078,4453.58,0.72454,1.14525,4523.576,0.387282051
69,c8cc02847h2_2_ASR_pacman,0.610439,5.04356,10.30451,4508.73,0.76068,1.24612,2507.888,0.385648123
70,c8cc02847h2_2_FSR_pacman,0.610439,5.04356,10.30451,4508.73,0.76068,1.24612,2507.888,0.385648123
192,d1qi00349f3_3_FSR_pacman,0.934367,6.3162,8.77465,4155.09,0.66016,0.706532,7040.112,0.384353826
67,c8cc02847h2_1_ASR_pacman,0.617909,5.04723,10.15649,4455.48,0.75946,1.22908,2507.888,0.383990143
68,c8cc02847h2_1_FSR_pacman,0.617909,5.04723,10.15649,4455.48,0.75946,1.22908,2507.888,0.383990143
11,am6b16264_si_002_ASR_pacman,0.723119,13.84408,14.93334,3535.18,0.74016,1.02357,3944.976,0.383936159
291,ja9b10501_si_009_FSR_pacman,0.661392,7.07753,9.69504,4273.62,0.72038,1.08919,4523.848,0.383899912
290,ja9b10501_si_009_ASR_pacman,0.661392,7.07753,9.69504,4273.62,0.72038,1.08919,4523.848,0.383899912
305,sc8b04783_si_002_FSR_pacman,0.603307,5.40588,11.90372,4248.26,0.75908,1.2582,5788.494,0.382076351
306,sc8b04783_si_003_FSR_pacman,0.623771,5.38751,11.75758,4170.59,0.75544,1.21109,6004.374,0.381831249
289,ja9b10501_si_003_FSR_pacman,0.580787,8.26545,9.71094,4524,0.7415,1.27672,4291.968,0.381800732
288,ja9b10501_si_003_ASR_pacman,0.580787,8.26545,9.71094,4524,0.7415,1.27672,4291.968,0.381800732
275,ja7b09973_si_002_5_FSR_pacman,0.685614,9.78977,12.89181,3795.74,0.73524,1.07238,2260.916,0.381647251
133,c9sc00178f2_8_FSR_pacman,0.94692,4.12327,10.08736,4228.86,0.63868,0.674481,1923.654,0.380990458
132,c9sc00178f2_8_ASR_pacman,0.94692,4.12327,10.08736,4228.86,0.63868,0.674481,1923.654,0.380990458
232,ja0c00805_si_002_FSR_pacman,0.618445,5.37125,12.07371,4065.94,0.75486,1.22058,5953.11,0.3798862
248,ja7b01559_si_002_FSR_pacman,0.595244,5.45549,11.90339,4149.32,0.75864,1.2745,5737.23,0.37835367
277,ja7b09973_si_002_9_FSR_pacman,0.728984,7.18753,10.00263,3635.08,0.7301,1.00153,2140.732,0.376761649
258,ja7b04532_si_005_ASR_pacman,0.759131,8.1262,10.97432,3544.89,0.74078,0.975827,6157.816,0.376290268
108,c9cc00692c2_2_ASR_pacman,1.04167,5.7308,7.58847,3335.2,0.6708,0.643966,3763.564,0.374401142
109,c9cc00692c2_2_FSR_pacman,1.04167,5.7308,7.58847,3335.2,0.6708,0.643966,3763.564,0.374401142
107,c9cc00692c2_1_FSR_pacman,1.04355,5.71237,7.57291,3332.45,0.67068,0.642693,3763.564,0.374105772
106,c9cc00692c2_1_ASR_pacman,1.04355,5.71237,7.57291,3332.45,0.67068,0.642693,3763.564,0.374105772
231,ja0c00805_si_002_ASR_pacman,0.584758,5.37125,14.04663,3976.07,0.76814,1.3136,5628.84,0.374101109
240,ja406844r_si_002_ASR_pacman,0.695127,8.4725,11.41819,3600.69,0.74098,1.06596,9011.52,0.372491274
94,c8qi00652k2_FSR_pacman,0.708666,5.59612,10.96463,3643.11,0.75556,1.06617,7014.624,0.369974022
269,ja7b09973_si_002_2_FSR_pacman,0.702268,7.61099,10.7361,3588.18,0.7438,1.05914,2208.664,0.369158555
204,d2qi01175a2_FSR_pacman,1.0764,4.03732,8.83567,3592.64,0.6117,0.568284,2408.196,0.368811975
203,d2qi01175a2_ASR_pacman,1.0764,4.03732,8.83567,3592.64,0.6117,0.568284,2408.196,0.368811975
213,d3nj03470d2_2_ASR_pacman,0.589618,6.68369,9.51532,4180.88,0.76008,1.28911,7457.52,0.368368019
238,ja205976v_si_004_ASR_pacman,1.40681,7.6745,8.85712,2623.34,0.55644,0.395532,3328.056,0.368349302
239,ja205976v_si_004_FSR_pacman,1.40681,7.6745,8.85712,2623.34,0.55644,0.395532,3328.056,0.368349302
271,ja7b09973_si_002_3_FSR_pacman,0.672427,8.93604,12.50897,3666.2,0.75144,1.1175,2148.7,0.367180594
44,c6dt04433f2_ASR_pacman,1.3766,6.24564,8.1141,3248.89,0.59538,0.4325,8985.336,0.366792998
93,c8qi00652k2_ASR_pacman,0.675906,5.59612,13.49318,3495.76,0.7708,1.1404,6690.354,0.364580302
54,c7ce01438d2_2_FSR_pacman,1.34214,3.60301,10.67679,3860.8,0.56904,0.423981,2013.096,0.364347232
53,c7ce01438d2_2_ASR_pacman,1.34214,3.60301,10.67679,3860.8,0.56904,0.423981,2013.096,0.364347232
9,am0c05512_si_001_FSR_pacman,1.14197,3.88073,10.07113,3167.9,0.5544,0.485478,3301.932,0.361598401
8,am0c05512_si_001_ASR_pacman,1.14197,3.88073,10.07113,3167.9,0.5544,0.485478,3301.932,0.361598401
276,ja7b09973_si_002_9_ASR_pacman,0.679907,8.00613,11.01063,3507.05,0.7511,1.10471,1996.612,0.360588521
114,c9dt00645a2_ASR_pacman,0.933074,5.13442,7.56653,4309.35,0.65256,0.699366,3974.984,0.360311655
279,ja8b04277_si_008_ASR_pacman,0.546975,6.37731,16.56624,3966.62,0.78562,1.4363,2669.296,0.360301495
280,ja8b04277_si_008_FSR_pacman,0.546975,6.37731,16.56624,3966.62,0.78562,1.4363,2669.296,0.360301495
274,ja7b09973_si_002_5_ASR_pacman,0.64191,11.20225,13.53825,3700,0.7539,1.17446,2116.796,0.359046378
185,d0sc03727c2_3_ASR_pacman,0.479239,6.69521,15.16665,4238.79,0.81258,1.69556,2206.962,0.358639599
91,c8dt03215g2_2_FSR_pacman,0.96161,5.45153,10.61906,4715.54,0.60448,0.628612,7096.29,0.357441118
90,c8dt03215g2_2_ASR_pacman,0.96161,5.45153,10.61906,4715.54,0.60448,0.628612,7096.29,0.357441118
299,ja9b12924_si_002_4_ASR_pacman,0.782706,4.4096,8.63844,4712.73,0.64694,0.826543,1781.268,0.356567056
300,ja9b12924_si_002_4_FSR_pacman,0.782706,4.4096,8.63844,4712.73,0.64694,0.826543,1781.268,0.356567056
267,ja7b09973_si_002_1_FSR_pacman,0.641073,7.40538,11.53674,3647.68,0.76202,1.18866,2080.672,0.356243685
260,ja7b05858_si_013_FSR_pacman,1.18997,10.16831,10.28794,4431.28,0.52472,0.440953,1995.846,0.355742935
48,c6qi00616g2_ASR_pacman,0.534545,12.51364,15.62831,4464.23,0.78224,1.46338,22963.824,0.355579085
273,ja7b09973_si_002_4_FSR_pacman,0.641768,10.05128,13.10264,3661.45,0.76122,1.18613,2140.732,0.354450971
63,c7ta09699b2_1_ASR_pacman,0.443426,11.0485,13.04059,4406.27,0.81052,1.82786,1473.282,0.354345574
242,ja512137t_si_002_2_FSR_pacman,1.06098,3.55042,8.76583,3840.65,0.60274,0.5681,2377.5,0.353575315
241,ja512137t_si_002_2_ASR_pacman,1.06098,3.55042,8.76583,3840.65,0.60274,0.5681,2377.5,0.353575315
43,c6ce02384c2_3_FSR_pacman,0.737166,5.40404,6.21263,4617.09,0.66994,0.908805,1335.144,0.35341079
42,c6ce02384c2_3_ASR_pacman,0.737166,5.40404,6.21263,4617.09,0.66994,0.908805,1335.144,0.35341079
268,ja7b09973_si_002_2_ASR_pacman,0.656444,8.05787,11.5693,3460.46,0.76304,1.16238,2064.544,0.350308627
224,ic5b02108_si_002_4_FSR_pacman,1.24502,6.96983,7.02216,3158.92,0.58526,0.470082,1440.92,0.346214545
223,ic5b02108_si_002_4_ASR_pacman,1.24502,6.96983,7.02216,3158.92,0.58526,0.470082,1440.92,0.346214545
206,d3cc01831h2_ASR_pacman,0.399548,11.96002,29.20524,3640.36,0.85318,2.13536,51137.712,0.34493361
226,ic5b02108_si_002_5_FSR_pacman,1.25282,6.91477,7.00347,3140.17,0.58456,0.466594,1440.92,0.344869157
225,ic5b02108_si_002_5_ASR_pacman,1.25282,6.91477,7.00347,3140.17,0.58456,0.466594,1440.92,0.344869157
228,ic5b02108_si_002_6_FSR_pacman,1.24917,6.9202,7.01087,3157.58,0.58392,0.467445,1440.92,0.344795575
227,ic5b02108_si_002_6_ASR_pacman,1.24917,6.9202,7.01087,3157.58,0.58392,0.467445,1440.92,0.344795575
266,ja7b09973_si_002_1_ASR_pacman,0.618871,7.88256,11.93536,3579.36,0.77118,1.24611,2008.612,0.344743115
244,ja512137t_si_002_3_FSR_pacman,1.05929,3.45409,8.74664,3857.66,0.59122,0.558131,2353.884,0.344067761
243,ja512137t_si_002_3_ASR_pacman,1.05929,3.45409,8.74664,3857.66,0.59122,0.558131,2353.884,0.344067761
205,d2sc05192c2_ASR_pacman,1.29084,4.02108,7.57139,3040.72,0.60486,0.468578,7132.368,0.343613432
297,ja9b11429_si_002_FSR_pacman,0.623695,9.40509,17.56744,3244.1,0.78866,1.2645,2482.218,0.342553365
270,ja7b09973_si_002_3_ASR_pacman,0.627326,10.54436,12.50897,3540.52,0.77002,1.22746,2004.58,0.340803953
255,ja7b04532_si_003_ASR_pacman,0.626623,6.56223,9.76421,3643.93,0.77978,1.24442,8516.688,0.340513726
261,ja7b07612_si_002_ASR_pacman,1.11679,9.48008,9.65156,4626.47,0.53788,0.481629,1822.002,0.339907166
262,ja7b07612_si_002_FSR_pacman,1.11679,9.48008,9.65156,4626.47,0.53788,0.481629,1822.002,0.339907166
281,ja8b07411_si_002_ASR_pacman,0.627326,10.57026,12.47863,3490.92,0.77032,1.22794,2004.58,0.339658285
212,d3dt01109g2_FSR_pacman,0.630937,10.86977,14.02264,3624.38,0.77674,1.23109,4113,0.339234789
134,c9sc00513g2_ASR_pacman,0.511504,9.46709,23.99374,3889.47,0.81118,1.58587,7720.212,0.334701618
64,c7ta09699b2_3_ASR_pacman,0.613258,8.97051,12.52851,3658.22,0.78652,1.28253,2291.814,0.333291372
296,ja9b11429_si_002_ASR_pacman,0.606688,9.40509,17.56744,3382.65,0.79454,1.30963,2386.224,0.332143926
137,c9tc05996b2_1_FSR_pacman,2.33073,6.96059,8.76913,2387.4,0.49916,0.214165,5817.532,0.331840557
136,c9tc05996b2_1_ASR_pacman,2.33073,6.96059,8.76913,2387.4,0.49916,0.214165,5817.532,0.331840557
272,ja7b09973_si_002_4_ASR_pacman,0.598562,11.48045,13.67593,3538.05,0.7798,1.30279,1996.612,0.329058324
14,am8b20450_si_006_ASR_pacman,1.38373,5.87507,7.89672,2922.56,0.54772,0.395829,1103.952,0.329029128
15,am8b20450_si_006_FSR_pacman,1.38373,5.87507,7.89672,2922.56,0.54772,0.395829,1103.952,0.329029128
141,c9tc05996b2_3_FSR_pacman,2.32031,6.86404,8.64029,2404.41,0.4984,0.214799,5817.532,0.327753606
140,c9tc05996b2_3_ASR_pacman,2.32031,6.86404,8.64029,2404.41,0.4984,0.214799,5817.532,0.327753606
265,ja7b08632_si_004_ion_pacman,1.00814,4.54733,6.00751,4135.31,0.62052,0.61551,1502.77,0.32358453
138,c9tc05996b2_2_ASR_pacman,2.36158,6.85525,8.53426,2387.48,0.49304,0.208775,5817.532,0.323174367
139,c9tc05996b2_2_FSR_pacman,2.36158,6.85525,8.53426,2387.48,0.49304,0.208775,5817.532,0.323174367
198,d2ce00268j2_2_ASR_pacman,1.22697,5.04954,9.06027,4189.29,0.55488,0.452235,5968.792,0.320694651
190,d1dt03249f2_ion_pacman,1.01012,7.61347,8.32959,4890.56,0.56484,0.559182,5493.646,0.320050421
278,ja8b04277_si_006_ASR_pacman,0.527882,11.80087,17.23699,3910.47,0.7938,1.50375,5050.334,0.318364053
181,d0dt03952g2_1_ASR_pacman,0.920669,4.87885,6.27801,4340.43,0.60928,0.66178,715.704,0.317863927
211,d3dt01109g2_ASR_pacman,0.586721,10.86986,15.50623,3476.94,0.7966,1.35772,3824.76,0.316947529
61,c7nj04966h2_FSR_pacman,1.02369,3.71763,5.9901,4601.42,0.62624,0.611749,1812.104,0.315758447
210,d3ce01078c2_6_FSR_pacman,1.41937,7.1593,8.11512,3809.55,0.5247,0.369672,4750.884,0.314980908
209,d3ce01078c2_6_ASR_pacman,1.41937,7.1593,8.11512,3809.55,0.5247,0.369672,4750.884,0.314980908
47,c6qi00548a2_FSR_pacman,1.03097,6.05589,6.78911,4192.98,0.579,0.561604,1995.624,0.314283524
46,c6qi00548a2_ASR_pacman,1.03097,6.05589,6.78911,4192.98,0.579,0.561604,1995.624,0.314283524
105,c9cc00206e2_FSR_pacman,0.605138,20.98496,21.47802,4294.56,0.74914,1.23797,2159.918,0.312239835
104,c9cc00206e2_ASR_pacman,0.605138,20.98496,21.47802,4294.56,0.74914,1.23797,2159.918,0.312239835
283,ja9b02417_si_002_FSR_pacman,1.14816,3.94924,7.29896,3685.65,0.57376,0.499721,1820.214,0.311662224
284,ja9b02417_si_003_ASR_pacman,1.06573,3.18488,8.34369,4006.22,0.56734,0.532347,2355.06,0.310480328
285,ja9b02417_si_003_FSR_pacman,1.06573,3.18488,8.34369,4006.22,0.56734,0.532347,2355.06,0.310480328
62,c7sc00449d2_6_FSR_pacman,1.54282,6.21393,7.50982,2849.2,0.5254,0.340546,3671.622,0.309027631
88,c8dt01405a2_2_ASR_pacman,1.10099,3.72517,6.64119,4138.22,0.58938,0.535316,2452.944,0.301588568
89,c8dt01405a2_2_FSR_pacman,1.10099,3.72517,6.64119,4138.22,0.58938,0.535316,2452.944,0.301588568
144,c9tc05996b2_5_ASR_pacman,2.28494,6.60292,8.31983,2616.62,0.4797,0.20994,5631.472,0.301291662
145,c9tc05996b2_5_FSR_pacman,2.28494,6.60292,8.31983,2616.62,0.4797,0.20994,5631.472,0.301291662
257,ja7b04532_si_004_FSR_pacman,1.3051,5.69426,6.93873,3659.97,0.54834,0.42015,5761.264,0.299942083
