Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
952,2020[U][hcb]2[ASR]3,1.5717,4.02165,5.5795,2045.95,0.7255,0.461601,528.108,-4.096254649731199,-1
1022,2021[Cd][kag]3[ASR]1,0.580835,14.42961,18.49829,4381.15,0.7786,1.34048,3076.608,-4.132819957819691,-1
157,2015[Mn][nan]3[ASR]3,0.988654,2.20659,9.90635,5287.09,0.5489,0.555199,3441.096,-4.151242612052599,-1
993,2020[Zn][nan]3[ASR]8,0.511629,10.45475,16.87479,4271.15,0.7982,1.56011,6485.764,-4.171114039766125,-1
620,2019[Cr][acs]3[ASR]1,0.517089,13.60266,14.55008,4146.2,0.7869,1.52179,1140.913,-4.190034037505948,-1
150,2015[Cu][sql]2[ASR]1,0.859717,5.73094,7.78812,5212.03,0.6037,0.702208,6201.888,-4.218575170189179,-1
664,2019[Fe][acs]3[ASR]1,0.51226,13.5624,14.74444,4151.56,0.7874,1.53711,1152.46,-4.226700686659493,-1
790,2020[Al][fmz]3[ASR]1,0.526238,5.23707,14.47097,4387.98,0.7667,1.45695,4407.75,-4.239343790513701,-1
393,2017[NiCo][qtz]3[ASR]1,0.723045,14.73657,15.0078,4552.19,0.7146,0.98832,2936.961,-4.2501448913768725,-1
935,2020[Ni][kgd]2[ASR]1,0.77079,4.78496,8.72752,5156.15,0.6311,0.81877,1067.887,-4.25130569948931,-1
126,2014[Zn][nan]2[ASR]3,0.870248,11.37417,11.94829,4934.58,0.616,0.707844,4139.18,-4.267772768781668,-1
171,2015[Zn][hea]3[ASR]1,0.548186,9.36857,12.05221,4387.9,0.7854,1.43273,8764.062,-4.27294499489018,-1
345,2017[CuSi][pcu]3[ASR]1,0.765355,10.29832,10.43276,4948.49,0.6606,0.863128,1476.388,-4.302682530466071,-1
377,2017[Fe][nan]3[ASR]1,0.557505,10.59444,14.63467,4539.81,0.7684,1.37828,4123.06,-4.315163625528669,-1
367,2017[Cu][sql]2[ASR]4,0.793068,3.45944,6.17614,5162.35,0.6399,0.806867,1503.688,-4.3894052280760345,-1
876,2020[Cu][sql]2[ASR]11,0.701661,4.22333,7.27434,4990.9,0.6884,0.981101,2728.592,-4.404369300278143,-1
368,2017[Cu][sql]2[ASR]6,0.784156,3.56342,6.19896,5181.07,0.634,0.808512,3007.376,-4.418866694009731,-1
1102,2021[NiW][hcb]2[ASR]1,1.68701,10.53464,14.72844,1873.61,0.6827,0.40468,11345.86,-4.419299573244931,-1
125,2014[Zn][bcs]3[ASR]1,0.88298,6.23546,6.95347,5311.7,0.5705,0.646107,13224.576,-4.455110418421726,-1
864,2020[Cu][nan]2[ASR]3,0.783586,3.71343,6.17681,5177.16,0.6458,0.82416,1695.864,-4.496985159055364,-1
675,2019[In][mmt]3[ASR]1,0.546774,9.5265,11.56372,4526.46,0.7682,1.40497,6588.0,-4.507869239253333,-1
881,2020[Cu][sql]2[ASR]7,0.766394,3.55294,6.3821,5158.87,0.6519,0.850607,1695.864,-4.5156833318636975,-1
493,2018[CuZr][she]3[ASR]1,0.455109,14.45381,25.91254,3289.3,0.8464,1.85977,7791.06,-4.520747983879643,-1
913,2020[In][nuc]3[ASR]1,0.471215,8.09761,14.76213,3681.71,0.8316,1.7648,5309.172,-4.560748347652158,-1
1194,2022[Zn][kgd]2[ASR]1,0.763129,4.97677,9.27343,5252.56,0.6336,0.830266,1074.574,-4.616984307995802,-1
