name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
2018[Zn][nan]2[ION]1,4387.196,0.898567,13.2849,13.76472,5006.85,0.60524,0.673562
2018[Zn][sql]2[ION]1,1769.984,1.23473,3.54487,4.41385,4904.14,0.4781,0.387211
2018[Zn][sql]2[ION]2,1676.168,1.20942,3.59451,4.39487,4966.64,0.4767,0.394155
2019[Cd][kgd]2[ION]1,1238.666,1.11013,3.07644,5.12863,5595.39,0.47766,0.430274
2019[Cd][nan]3[ION]1,6048.156,1.11449,2.8827,6.65528,4817.89,0.52926,0.474891
2019[Cd][pyr]3[ION]1,3455.648,1.13146,3.39274,4.41706,4650.28,0.55804,0.493205
2019[Cu][sql]2[ION]1,1360.082,1.44613,2.94298,4.75381,4550.02,0.40488,0.279975
2019[Dy][nan]3[ION]1,1965.904,1.41409,3.59862,4.84214,4041.31,0.4642,0.328267
2019[Eu][flu]3[ION]1,1746.726,1.24605,6.32609,7.02294,4115.42,0.54276,0.435584
2019[Eu][nan]3[ION]1,3770.084,1.37039,4.628,6.57446,4212.12,0.49124,0.358467
2019[Gd][flu]3[ION]1,1581.114,1.36471,6.29624,7.14157,4166.93,0.49646,0.363785
2019[La][flu]3[ION]1,1773.016,1.42679,3.58536,5.51696,4686.92,0.41434,0.290399
2019[La][flu]3[ION]2,1720.608,1.21661,5.73178,6.80311,4242.26,0.54042,0.4442
2019[Nd][bnn]3[ION]1,1755.46,1.35217,5.07666,6.25154,4398.54,0.48456,0.358358
2019[Nd][fit]3[ION]1,1488.826,1.52003,3.4245,4.90619,4024.47,0.43732,0.287704
2019[Nd][flu]3[ION]1,1442.798,1.23327,5.74228,6.78156,4152.28,0.54546,0.442289
2019[Nd][kgd]2[ION]1,1560.886,1.36667,4.40611,5.94152,4293.97,0.4871,0.356413
2019[Nd][nan]3[ION]1,3162.228,1.34004,4.88816,5.95562,4286.3,0.49542,0.369706
2019[Sm][flu]3[ION]1,1442.798,1.25972,6.14509,7.08004,4104.57,0.53942,0.428205
2019[Sm][hcb]2[ION]1,1824.768,1.33081,4.23122,6.24487,4487.29,0.4965,0.37308
2019[Sm][nan]3[ION]1,3162.228,1.356,4.9044,6.12021,4222.57,0.49604,0.36581
2019[Tb][nan]3[ION]1,3797.928,1.37658,4.77042,6.75261,4165.15,0.49246,0.357741
2019[Tb][nan]3[ION]2,2601.604,1.40174,3.60263,4.85068,4073.66,0.46494,0.331688
2019[Tb][she]3[ION]1,14806.32,0.595012,8.51123,20.86689,3810.29,0.79738,1.34011
2019[Tb][sqc]3[ION]1,1898.964,1.37367,6.34532,7.1858,4141.68,0.49496,0.360319
2019[YK][nan]3[ION]1,17802.976,1.66843,3.69279,4.85328,2860.99,0.38562,0.231128
2019[Y][sqc]3[ION]1,1495.206,1.40393,3.6031,5.51268,4710.61,0.39856,0.28389
2019[Yb][bnn]3[ION]1,1421.306,1.23728,4.11071,7.28168,4225.34,0.53556,0.432854
2019[Yb][sqc]3[ION]1,1442.798,1.42531,5.45574,6.45783,3891.2,0.4933,0.3461
2019[Zn][sit]3[ION]1,4383.164,1.09663,3.70289,7.87211,5004.82,0.51538,0.469969
2020[Bi][sql]2[ION]1,1897.78,1.35277,2.93247,4.40452,3947.53,0.52716,0.389689
2020[CdNa][nan]3[ION]1,4827.268,1.25735,4.07425,5.3549,4657.91,0.47692,0.379307
2020[CoNa][ant]3[ION]1,1699.062,1.08153,5.14066,6.01429,4628.53,0.50526,0.467172
2020[Cu][sql]2[ION]1,2292.1,1.01354,4.27647,5.50048,5376.98,0.55228,0.544902
2020[Eu][sqc]3[ION]1,1578.854,1.2182,5.63298,6.46853,4203.17,0.53282,0.437382
2020[Mn][sra]3[ION]1,1232.592,1.15951,2.05791,5.29393,4611.55,0.52396,0.451882
2020[ReAg][pts]3[ION]1,812.724,1.87154,2.2934,4.48602,3523.71,0.4365,0.23323
2020[UEu][nan]3[ION]1,2981,2.73059,2.44956,5.76815,2569.7,0.38354,0.14046
2020[Zn][nan]3[ION]1,5502.82,1.25167,3.23344,6.85541,4319.23,0.53656,0.428677
2021[AlAg][fet]2[ION]1,3053.312,1.29288,2.15864,4.35734,4872.14,0.45344,0.35072
2021[AlAg][fet]2[ION]2,3053.312,1.28949,2.14799,4.41813,4884.46,0.454,0.352077
2021[CoAg][fet]2[ION]1,3289.044,1.34817,2.16359,4.35985,4684.97,0.4498,0.333636
2021[CrAg][fet]2[ION]1,3261.296,1.31828,2.18451,4.37813,4776.07,0.45484,0.345025
2021[FeAg][fet]2[ION]1,3276.692,1.3244,2.16923,4.38625,4766.31,0.45396,0.342767
2021[GaAg][fet]2[ION]1,3053.312,1.35784,2.12888,4.38984,4674.03,0.45154,0.332544
2022[Cd][nuc]3[ION]1,3971.04,1.21864,3.93851,4.60559,4846.63,0.48246,0.395902
2022[Cd][nuc]3[ION]2,3971.04,1.19791,3.86973,5.55709,4926.07,0.48778,0.407192
2022[CoPtPd][srs]3[ION]1,4098.592,1.75347,3.35571,4.52201,3416.13,0.498,0.284008
2022[CuSi][ith]3[ION]1,3051.516,0.993357,2.63507,11.42007,4324.67,0.61038,0.614462
2022[Cu][nan]3[ION]1,5386.068,1.32211,5.77518,7.28951,4239,0.4773,0.361014
2022[Zn][hcb]2[ION]1,3221.856,0.833075,5.92533,8.66654,5483.34,0.63584,0.763245
2022[Zn][nan]3[ION]1,1591.852,1.26974,7.97967,8.99955,3848.69,0.57916,0.456123
2023[Cu][nan]2[ION]1,1290.314,1.0438,4.10224,5.25293,4611.7,0.60834,0.582813
2023[Cu][nan]3[ION]1,4635.896,1.33418,5.82271,7.578,4134.28,0.50208,0.376322
2023[Cu][pts]3[ION]1,1990.048,0.604281,7.54284,10.0776,5081.72,0.73194,1.21126
2023[GaNi][cds]3[ION]1,8470.52,0.854661,5.11275,7.93398,4801.3,0.62918,0.736175
2023[Sr][nan]3[ION]1,3639.632,1.20387,3.88665,5.64312,4585.69,0.48604,0.40373
2023[U][hcb]2[ION]1,1409.184,1.95256,2.21966,3.34285,3594.96,0.41178,0.210893
2024[Cd][hcb]2[ION]1,1850.98,0.932106,3.675,6.53373,5102.82,0.63438,0.680588
