name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
c5dt03710g2_10_FSR_pacman,2284.672,1.11238,5.21571,7.98442,3284.5,0.63774,0.57331
c5dt03710g2_11_ASR_pacman,1138.304,0.946025,7.39489,8.61263,3641.03,0.6735,0.711926
c5dt03710g2_11_FSR_pacman,1138.304,0.946025,7.39489,8.61263,3641.03,0.6735,0.711926
c5dt03710g2_12_ASR_pacman,1138.304,0.968429,7.21174,8.3662,3601.45,0.66556,0.687257
c5dt03710g2_12_FSR_pacman,1138.304,0.968429,7.21174,8.3662,3601.45,0.66556,0.687257
c5dt03710g2_13_ASR_pacman,1138.304,0.98092,7.05182,8.06729,3629.41,0.65832,0.671125
c5dt03710g2_13_FSR_pacman,1138.304,0.98092,7.05182,8.06729,3629.41,0.65832,0.671125
c5dt03710g2_14_ASR_pacman,1138.304,0.983717,7.0145,8.01414,3629.51,0.65694,0.667814
c5dt03710g2_14_FSR_pacman,1138.304,0.983717,7.0145,8.01414,3629.51,0.65694,0.667814
c5dt03710g2_15_ASR_pacman,1138.304,0.9879,6.9797,7.95944,3617.68,0.65578,0.663812
c5dt03710g2_15_FSR_pacman,1138.304,0.9879,6.9797,7.95944,3617.68,0.65578,0.663812
c5dt03710g2_1_ASR_pacman,583.264,1.21147,7.62717,9.52692,2704.28,0.66384,0.547962
c5dt03710g2_1_FSR_pacman,583.264,1.21147,7.62717,9.52692,2704.28,0.66384,0.547962
c5dt03710g2_2_ASR_pacman,583.264,1.21099,7.63243,9.52109,2711.78,0.66338,0.547798
c5dt03710g2_2_FSR_pacman,583.264,1.21099,7.63243,9.52109,2711.78,0.66338,0.547798
c5dt03710g2_3_ASR_pacman,583.264,1.21051,7.63792,9.5217,2715.27,0.6631,0.547786
c5dt03710g2_3_FSR_pacman,583.264,1.21051,7.63792,9.5217,2715.27,0.6631,0.547786
c5dt03710g2_4_ASR_pacman,583.264,1.21022,7.64304,9.52536,2714.1,0.66298,0.547816
c5dt03710g2_4_FSR_pacman,583.264,1.21022,7.64304,9.52536,2714.1,0.66298,0.547816
c5dt03710g2_5_ASR_pacman,1142.336,1.02774,7.08325,9.54784,3312.1,0.6658,0.647832
c5dt03710g2_5_FSR_pacman,1142.336,1.02774,7.08325,9.54784,3312.1,0.6658,0.647832
c5dt03710g2_6_ASR_pacman,2260.48,1.05728,5.47919,8.3929,3365.93,0.65558,0.620065
c5dt03710g2_6_FSR_pacman,2260.48,1.05728,5.47919,8.3929,3365.93,0.65558,0.620065
c5dt03710g2_7_ASR_pacman,2260.48,1.06291,5.41357,8.32418,3367.42,0.65304,0.614387
c5dt03710g2_7_FSR_pacman,2260.48,1.06291,5.41357,8.32418,3367.42,0.65304,0.614387
c5dt03710g2_8_ASR_pacman,2278.624,1.09109,5.33662,8.15679,3317.47,0.642,0.588401
c5dt03710g2_8_FSR_pacman,2278.624,1.09109,5.33662,8.15679,3317.47,0.642,0.588401
c5dt03710g2_9_ASR_pacman,2284.672,1.10442,5.28758,8.06255,3286.25,0.64064,0.580069
c5dt03710g2_9_FSR_pacman,2284.672,1.10442,5.28758,8.06255,3286.25,0.64064,0.580069
c5dt04943a2_1_ASR_pacman,4782.438,0.759207,6.19681,11.21256,3498.57,0.74368,0.979548
c5dt04943a2_1_FSR_pacman,5088.564,0.805932,5.43322,11.21256,3771.45,0.71922,0.892408
c5dt04943a2_2_ASR_pacman,4782.438,0.590817,5.78153,12.04309,4516.86,0.7678,1.29956
c5dt04943a2_2_FSR_pacman,5088.564,0.637757,5.41375,12.04309,4800.38,0.74486,1.16794
c5dt05023e2_1_ion_pacman,3342.856,1.14421,3.97575,6.09285,4609.88,0.51076,0.446388
c5dt05023e2_2_ion_pacman,2997.895,1.08501,3.72579,5.75193,4626.64,0.52474,0.483627
