name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
2017[Zn][nan]3[FSR]3,2764.136,0.842012,8.52068,8.83729,5401.85,0.61624,0.731866
2017[Zn][nan]3[FSR]4,1725.6,1.10312,10.14978,11.40747,4390.16,0.5647,0.511911
2017[Zn][pcu]3[FSR]1,1814.956,0.845633,6.58598,8.64973,4546.59,0.65266,0.7718
2017[Zn][pcu]3[FSR]5,2387.53,1.19856,3.25271,6.30323,4748.73,0.50298,0.419652
2017[Zn][sod]3[FSR]1,5606.712,0.684243,5.21481,14.89793,5460.34,0.67412,0.985205
2017[Zn][sql]2[FSR]1,1512.278,0.951715,4.87008,6.21655,5169.3,0.56632,0.595052
2017[Zn][sql]2[FSR]2,2792.4,0.727537,4.36617,7.76573,5398.64,0.66182,0.909672
2017[Zn][sql]2[FSR]3,887.528,1.23333,3.43895,4.38161,4924.94,0.46726,0.378861
2017[Zn][sql]3[FSR]2,2333.438,1.27769,3.09213,5.81954,4565.96,0.47728,0.373548
2017[Zn][unc]3[FSR]1,1214.492,1.32306,4.28379,5.024,4454.74,0.47224,0.356929
2017[Zn][unc]3[FSR]2,1214.492,1.23292,4.443,5.06004,4840.91,0.49964,0.405251
2017[Zr][csq]3[FSR]1,6710.172,0.502145,29.28279,29.73186,3515.35,0.81906,1.63112
2017[Zr][csq]3[FSR]2,6434.004,0.476263,29.4358,30.5097,3610.55,0.82718,1.73682
2017[Zr][csq]3[FSR]3,6422.196,0.497465,29.15594,30.53451,3637.61,0.82012,1.6486
2017[Zr][csq]3[FSR]4,6421.908,0.49175,29.32601,29.92853,3560.28,0.8218,1.67117
2017[Zr][fcu]3[FSR]1,6586.464,0.692178,13.01406,19.182,3988.71,0.73814,1.0664
2017[Zr][nan]3[FSR]1,4231.772,0.811156,7.12418,11.99121,3514.2,0.7397,0.911908
2018[Ag][sql]2[FSR]2,1387.63,1.44984,4.92775,6.01167,3613.11,0.55564,0.383241
2018[Ag][sql]2[FSR]3,1387.63,1.44364,4.99982,6.05772,3607.85,0.55746,0.386148
2018[Ag][sql]2[FSR]4,1387.63,1.43495,5.08334,6.13733,3607.41,0.56098,0.390941
2018[Ag][sql]2[FSR]5,1387.63,1.42462,5.1874,6.23384,3599,0.56206,0.394534
2018[Ag][sql]2[FSR]6,1387.63,1.41336,5.31545,6.34061,3590.06,0.56562,0.400194
2018[Cd][dia]3[FSR]3,2059.296,1.19526,5.30608,6.45434,4618.24,0.5278,0.441578
2018[Cd][dia]3[FSR]4,2059.296,1.19499,4.62248,6.27815,4569.89,0.52584,0.440037
2018[Cd][dia]3[FSR]5,2059.296,1.19718,4.65207,6.19232,4531.57,0.52166,0.435739
2018[Cd][nan]3[FSR]2,5175.88,0.888712,10.17943,13.31328,4592.28,0.62818,0.706843
2018[Cd][nan]3[FSR]3,5175.88,0.700989,11.03686,11.83106,4628.4,0.70874,1.01106
2018[Cd][nan]3[FSR]4,1602.548,1.28977,3.02021,6.28321,3563.02,0.5692,0.441319
2018[Cd][nan]3[FSR]5,3854.472,1.71191,3.46339,4.4708,3937.37,0.40466,0.23638
2018[Cd][nan]3[FSR]6,4342.652,0.933546,5.91333,8.14266,4003.52,0.66092,0.707967
2018[Cd][pcu]3[FSR]1,2708.43,1.52404,3.23008,4.87743,4292.8,0.41708,0.273668
2018[Cd][sod]3[FSR]1,8320.224,1.26217,3.04996,5.35859,4150.66,0.5475,0.433775
2018[Cd][sod]3[FSR]2,4160.112,1.38339,2.82859,4.50069,4124.26,0.5085,0.367575
2018[Cd][sql]2[FSR]1,2035.264,1.02975,5.95747,7.84304,4525.57,0.59144,0.574353
2018[Ce][csq]3[FSR]1,5452.68,0.557854,17.73807,23.51979,3480.5,0.80374,1.44077
2018[Ce][scu]3[FSR]1,1817.56,0.669755,8.70141,12.44211,3486.63,0.76222,1.13806
2018[Co][flu]3[FSR]1,916.598,1.35477,2.80323,4.4469,4359.89,0.4317,0.318652
2018[Co][fsc]3[FSR]1,940.66,1.23641,3.82584,4.62849,4465.31,0.47582,0.384839
2018[Co][nan]3[FSR]10,2807.676,1.18539,9.94509,10.96437,2479.5,0.6361,0.536617
2018[Co][nan]3[FSR]2,7060.54,1.03176,5.21011,9.602,4394.09,0.56182,0.544523
2018[Co][nan]3[FSR]3,935.892,1.18457,9.86058,10.9929,2500.7,0.63944,0.53981
2018[Co][nan]3[FSR]4,935.892,1.18395,9.96153,11.0634,2499.18,0.64226,0.542472
2018[Co][nan]3[FSR]5,935.892,1.18386,9.96065,11.06314,2503.19,0.64228,0.542532
2018[Co][nan]3[FSR]6,935.892,1.17315,10.10911,11.06432,2535.84,0.637,0.542981
2018[Co][nan]3[FSR]7,935.892,1.18395,9.95624,11.06071,2499.46,0.6423,0.542506
2018[Co][nan]3[FSR]9,3743.568,1.18297,10.97893,11.68073,2485.59,0.63716,0.538611
2018[Co][nia]3[FSR]1,1994.964,0.872025,4.68406,8.91438,4023.26,0.65276,0.748556
2018[Co][sql]2[FSR]1,1821.34,0.955836,5.68887,7.14429,4799.77,0.57268,0.59914
2018[CuIn][nan]3[FSR]1,5301.952,1.25332,3.94822,4.87313,3717.38,0.56094,0.447564
2018[Cu][kgm]2[FSR]1,1714.188,1.37823,4.75262,6.59257,4179.93,0.48422,0.351334
2018[Cu][kgm]2[FSR]2,1714.188,1.18701,5.20127,6.76836,4256.06,0.55266,0.465589
2018[Cu][nan]2[FSR]1,4536.82,1.01468,3.47283,5.72932,5166.11,0.5387,0.530906
2018[Cu][nan]3[FSR]2,1391.092,1.56704,3.00148,4.14659,4168.88,0.39454,0.251773
2018[Cu][nan]3[FSR]3,1391.092,1.57622,2.91489,4.16062,4151.53,0.39294,0.249292
2018[Cu][nan]3[FSR]4,1391.092,1.56798,3.0153,4.15698,4160.79,0.39506,0.251955
2018[Cu][nan]3[FSR]5,1391.092,1.54591,3.17931,4.33299,4214.89,0.40164,0.259808
2018[Cu][nan]3[FSR]6,1391.092,1.5408,3.17251,4.34342,4234.81,0.40408,0.262253
2018[Cu][nan]3[FSR]7,1391.092,1.53594,3.17778,4.3312,4247.41,0.40606,0.264372
2018[Cu][sit]3[FSR]1,1551.09,1.34639,6.0353,6.3761,4228.96,0.48236,0.358262
2018[Cu][sql]2[FSR]1,9215.272,1.10967,3.1183,6.09567,4794.29,0.51586,0.464875
2018[Cu][sql]2[FSR]2,2536.444,1.36352,2.34733,3.4869,4936.35,0.39678,0.290996
