Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svm,label_svm
484,2018[Co][nan]3[ASR]3,1.18457,9.86058,10.9929,2485.51,0.6448,0.544334,935.892,1.318672168091478,1
486,2018[Co][nan]3[ASR]5,1.18386,9.96065,11.06314,2489.21,0.6482,0.547533,935.892,1.3169854884958956,1
1372,2024[Zr][flu]3[ASR]1,0.850103,5.39536,8.48729,3183.75,0.721,0.848133,3536.496,1.316469462555398,1
547,2018[Zr][bcu]3[ASR]1,0.822188,8.44133,10.26406,2698.64,0.7616,0.926309,1235.712,1.3160014102982833,1
323,2017[Co][nan]3[ASR]14,1.19054,9.9543,10.9968,2483.93,0.6428,0.539921,935.892,1.314787734591838,1
1015,2020[Zr][sqc]3[ASR]2,0.852953,7.14182,9.29295,3279.54,0.7044,0.825837,3576.616,1.314078610761716,1
490,2018[Co][nan]3[ASR]9,1.18539,9.94509,10.96437,2479.68,0.6273,0.529194,2807.676,1.3114184636167798,1
948,2020[Tb][nan]3[ASR]4,1.6218,6.28333,6.65235,2586.52,0.5674,0.349857,4392.504,1.3051603517386756,1
914,2020[La][pts]3[ASR]1,1.52957,5.40146,5.66023,2574.34,0.5856,0.382853,1428.068,1.304460760489361,1
344,2017[CuEu][sql]2[ASR]1,1.13764,5.36566,6.7779,3108.26,0.6921,0.608364,1297.248,1.30183307729898,1
1018,2021[Ag][nan]3[ASR]1,1.38549,8.74983,9.77195,3114.85,0.6202,0.44764,1185.56,1.3007351362809914,1
912,2020[In][nan]3[ASR]1,1.80152,4.92871,6.67097,2478.1,0.5725,0.317787,1720.786,1.298630658429756,1
165,2015[Sm][sql]2[ASR]1,1.49163,4.02369,6.71175,2720.34,0.5892,0.395005,750.354,1.2984414657614374,1
940,2020[Pr][pts]3[ASR]1,1.57041,5.34196,5.58764,2497.17,0.5816,0.370348,872.448,1.29429454910046,1
1014,2020[Zr][sqc]3[ASR]1,0.84795,7.21012,9.30717,3320.76,0.7042,0.830473,3584.68,1.2937701483294854,1
813,2020[Ce][pts]3[ASR]1,1.54829,5.3979,5.6336,2530.22,0.5763,0.372217,872.448,1.2937363186468782,1
32,2006[Cd][nan]3[ASR]4,1.26346,5.81593,6.97647,3086.67,0.6577,0.520556,4284.028,1.2933760055848265,1
