Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
218,2016[Co][sql]2[ASR]16,1.26836,3.46952,4.66991,4450.76,0.4582,0.361255,335.225,0.1891295712244716,-1
499,2018[Cu][nan]3[ASR]3,1.57622,2.91489,4.16062,4152.83,0.3936,0.249711,1391.092,0.18910760865352771,-1
228,2016[Co][sql]2[ASR]25,1.41979,2.83454,3.89254,4130.7,0.4041,0.284619,335.225,0.1891068550887507,-1
498,2018[Cu][nan]3[ASR]2,1.56704,3.00148,4.14659,4164.4,0.397,0.253343,1391.092,0.18903226131277684,-1
395,2017[Ni][hms]3[ASR]1,1.52424,2.34169,3.06322,4478.67,0.3773,0.247534,2531.988,0.18883031414508533,-1
500,2018[Cu][nan]3[ASR]4,1.56798,3.0153,4.15698,4158.16,0.3974,0.253448,1391.092,0.18870175467500983,-1
223,2016[Co][sql]2[ASR]20,1.33765,3.48002,4.41293,4224.48,0.4398,0.328786,335.225,0.18867967639486416,-1
1148,2022[Cd][fes]2[ASR]1,1.52682,2.89129,4.35154,4179.58,0.4361,0.285626,1776.86,0.18854883400897804,-1
854,2020[Cu][ant]2[ASR]1,1.42679,3.82441,4.6449,4474.73,0.4114,0.288339,975.876,0.18836605065915424,-1
451,2017[Zn][sql]3[ASR]2,1.27769,3.09213,5.81954,4559.91,0.4835,0.378416,2333.438,0.1880219986595062,-1
1306,2024[Co][pcu]3[ASR]1,1.26962,3.52253,5.1316,4658.96,0.442,0.348136,2053.5,0.1878518664557831,-1
818,2020[Co][hxl]2[ASR]1,1.33738,2.96153,4.3442,4237.58,0.4551,0.340293,1930.954,0.1877647558361093,-1
542,2018[Zn][sql]2[ASR]2,1.3331,3.29028,4.88143,4592.87,0.4589,0.344236,977.598,0.18701827012219185,-1
1295,2024[Cd][nan]2[ASR]4,1.37981,4.02325,5.48967,4334.85,0.4582,0.332075,4614.776,0.18696929627755887,-1
684,2019[La][scu]3[ASR]1,1.445,2.93319,4.54141,4043.9,0.4338,0.300208,1392.798,0.1864173942669698,-1
570,2019[Cd][hcb]2[ASR]3,1.38089,2.81906,4.90778,4480.28,0.4759,0.344634,1963.016,0.18591615499558434,-1
1313,2024[Cu][sql]2[ASR]1,1.2818,3.18367,4.67375,4616.62,0.4591,0.358168,1535.4,0.18580041873262454,-1
758,2019[Zn][pcu]3[ASR]6,1.28945,3.27614,4.24148,4471.97,0.4587,0.355732,2973.416,0.1855746411059671,-1
33,2006[Cu][pcu]3[ASR]1,1.36492,3.10635,4.88164,4735.76,0.4237,0.310422,1247.216,0.18556245798435822,-1
1228,2023[Co][nan]2[ASR]1,1.43846,3.21043,4.70502,4663.19,0.3809,0.264798,1817.23,0.18548842897200912,-1
797,2020[Cd][kgd]2[ASR]3,1.31121,4.01438,6.74587,4242.38,0.4925,0.375606,2796.548,0.18530495356062238,-1
967,2020[Zn][fsc]3[ASR]1,1.31486,2.42402,3.98072,4636.97,0.4497,0.342014,2171.248,0.18508493682974403,-1
244,2016[Cu][nan]2[ASR]1,1.63875,2.62588,3.52917,4204.07,0.4068,0.248238,1600.196,0.18506477687390288,-1
927,2020[Mn][nan]3[ASR]1,1.2077,3.22907,4.93668,4446.36,0.4815,0.398692,2749.684,0.18447488920817157,-1
254,2016[La][sql]2[ASR]1,1.38344,3.15211,4.64894,4185.07,0.463,0.334672,2357.216,0.18442141285324198,-1
546,2018[Zn][vtx]3[ASR]1,1.43499,2.13544,2.88068,4398.58,0.4224,0.294357,3125.43,0.1842559721496726,-1
590,2019[Ce][scu]3[ASR]1,1.44395,2.98094,4.48703,4050.39,0.442,0.306104,1114.988,0.1838638261487242,-1
578,2019[Cd][nan]3[ASR]4,1.50984,3.27191,4.68432,4084.06,0.4438,0.293938,1816.874,0.18364895328931996,-1
622,2019[Cu][gra]3[ASR]1,1.57483,3.51527,3.87876,4295.19,0.4129,0.262188,1599.544,0.18343310893812115,-1
204,2016[Co][ant]3[ASR]1,1.24631,3.49219,5.03354,4521.85,0.4772,0.38289,4382.668,0.1831409105145716,-1
601,2019[Co][nan]2[ASR]1,1.2779,2.86275,5.09885,4152.28,0.4805,0.376008,1260.632,0.18311401859135845,-1
1217,2023[Cd][dia]3[ASR]2,1.4381,2.73752,4.17074,4744.84,0.404,0.280926,2772.072,0.18304623499565786,-1
219,2016[Co][sql]2[ASR]17,1.27853,3.56419,4.30982,4368.8,0.4613,0.360804,335.225,0.1828354298047874,-1
10,0000[Co][sql]2[ASR]2,1.2454,3.77985,4.61629,4490.69,0.4612,0.370322,335.225,0.18275788990680208,-1
576,2019[Cd][nan]2[ASR]2,1.26251,2.98467,5.92297,4779.65,0.4559,0.361106,3244.596,0.18273289197896259,-1
852,2020[CuSi][pcu]3[ASR]1,1.37362,2.77656,3.76701,4569.74,0.4513,0.328547,1196.028,0.18269340167679693,-1
212,2016[Co][sql]2[ASR]10,1.24368,3.47625,4.4854,4568.85,0.463,0.372284,335.225,0.18208834657372308,-1
273,2016[Zn][nan]2[ASR]2,1.53087,4.41841,6.08351,4306.27,0.4252,0.277751,4881.34,0.18207959419425257,-1
241,2016[Co][sql]2[ASR]9,1.23984,3.53303,4.5278,4556.33,0.4641,0.374321,335.225,0.18197409474933646,-1
771,2019[Zn][tfz]3[ASR]1,1.27922,3.89874,6.8271,4199.29,0.5055,0.395163,2528.668,0.18169586346928557,-1
945,2020[Tb][hcb]2[ASR]1,1.3838,4.07019,5.71864,4630.72,0.4355,0.314714,4699.848,0.18169049210303934,-1
216,2016[Co][sql]2[ASR]14,1.24876,3.75144,4.57518,4392.99,0.4678,0.37461,335.225,0.18137246926497164,-1
843,2020[Co][rob]3[ASR]1,1.18713,3.38724,5.62438,4706.16,0.471,0.396754,2165.54,0.1812474555434873,-1
310,2017[Cd][sql]2[ASR]1,1.35224,3.38803,4.34287,4660.95,0.4437,0.328123,4935.36,0.18110213475852555,-1
314,2017[Cd][sql]2[ASR]5,1.28843,3.87041,5.28806,4361.72,0.4813,0.373556,3764.48,0.18109230239629093,-1
1031,2021[Cd][sql]2[ASR]1,1.44416,2.55192,3.93642,4252.31,0.458,0.317139,3653.92,0.18098713601398408,-1
358,2017[Cu][rob]3[ASR]1,1.46806,4.10393,4.94656,4542.55,0.4101,0.279349,1143.064,0.18091042275517677,-1
279,2017[Ag][dia]3[ASR]1,1.37041,3.54801,4.58322,4301.32,0.4688,0.342088,4677.496,0.18076629079715367,-1
58,2011[Zn][rob]3[ASR]2,1.2762,2.91819,4.62786,4561.68,0.4789,0.375254,3197.496,0.18066537237147973,-1
